Item,Neuroticism,Extraversion,Dominance,Impulsiveness,Agreeableness
Insecure,0.81,-0.14,-0.03,0.06,-0.03
Anxious,0.77,-0.17,0.02,0.07,-0.06
Fearful of people,0.73,0.04,-0.02,-0.05,-0.27
Suspicious,0.71,0.06,0.02,-0.09,-0.31
Shy,0.7,-0.13,-0.06,-0.09,-0.17
Trusting,-0.69,0.0,-0.02,0.07,0.36
Calm,-0.68,0.04,-0.09,-0.18,0.09
Stable,-0.64,0.15,-0.11,-0.26,0.08
Tense,0.56,-0.13,0.11,0.12,-0.14
Self-assured,-0.53,0.46,0.13,-0.12,0.04
Bold,-0.52,0.37,0.17,0.28,0.02
Fearful of other cats,0.46,-0.14,-0.1,-0.03,-0.04
Cool,-0.45,0.08,0.01,-0.17,-0.05
Excitable,0.39,0.04,0.15,0.38,0.15
Decisive,-0.14,0.62,0.16,-0.17,0.03
Smart,-0.09,0.6,0.02,-0.11,-0.02
Curious,-0.17,0.59,-0.03,0.28,0.29
Inventive,-0.14,0.56,0.03,0.22,0.26
Active,-0.09,0.53,-0.12,0.28,0.09
Inquisitive,-0.21,0.53,-0.03,0.27,0.32
Vigilant,0.16,0.48,0.01,0.13,-0.03
Deliberate,-0.05,0.48,0.14,-0.23,-0.01
Aimless,0.11,-0.45,0.06,0.37,0.06
Clumsy,0.11,-0.4,0.03,0.21,0.22
Persevering,0.03,0.4,0.19,0.11,0.08
Quitting,0.16,-0.31,0.07,0.18,-0.06
Bullying,-0.04,0.06,0.79,0.14,-0.07
Dominant,-0.19,0.16,0.7,0.11,-0.11
Aggressive to other cats,0.04,0.04,0.69,0.1,-0.15
Jealous,0.13,-0.02,0.59,0.1,0.04
Defiant,-0.09,0.16,0.56,0.3,-0.19
Submissive,0.25,-0.19,-0.46,0.02,0.17
Greedy,0.02,-0.11,0.45,0.1,0.28
Friendly to other cats,0.07,0.1,0.12,0.6,-0.02
Impulsive,0.21,-0.13,0.23,0.6,-0.21
Erratic,-0.04,0.04,0.31,0.55,0.02
Reckless,0.05,0.02,-0.02,-0.48,0.13
Predictable,0.13,-0.18,0.07,0.48,0.1
Distractible,0.01,-0.15,-0.1,-0.47,0.01
Constrained,-0.19,0.06,-0.07,-0.14,0.61
Affectionate,-0.5,-0.02,0.01,0.05,0.52
Friendly to people,-0.19,0.0,-0.33,-0.32,0.49
Gentle,-0.08,0.34,-0.09,0.22,0.47
Playful,0.26,-0.09,0.06,0.0,-0.44
Predictable,0.09998730749470441,-0.13262800894766805,0.08455170006310912,0.448222012986268,0.04892239026622011
Defiant,-0.09808776931987605,0.19181525541725852,0.5146639665710036,0.32380212937134856,-0.1248169365800708
Anxious,0.6990701768492221,-0.16048315075174163,0.026787691473824315,0.10040448310004808,-0.024750934433363958
Quitting,0.17804616887955677,-0.31321890254004836,0.08724511675223644,0.17599563323237555,-0.07206900658221063
Fearful of other cats,0.44216274871159034,-0.11219391007330175,-0.04780696945406711,-0.003677591933265209,0.028194326220855263
Self-assured,-0.4030418641865334,0.4984988679965397,0.1934194761201951,-0.09877568779717746,0.08702677924810048
Anxious,0.7236976690394261,-0.1956482658817811,0.055505462018197685,0.07462394357755486,-0.028496253069949615
Shy,0.7881468736151613,-0.09568699048127433,-0.14063579355948258,-0.11359659328947166,-0.1155524701516317
Erratic,-0.0991786583972269,0.051448521611521886,0.29303068534109017,0.5092364531739039,0.05495461909299945
Trusting,-0.6600051683144497,-0.02725188076735457,-0.08336911507561676,0.07551497893167108,0.3384987307075042
Inventive,-0.1661594046793555,0.6074571493890499,0.01803876010651224,0.2626987355533928,0.24644797688557288
Inquisitive,-0.24065473414541888,0.5141315607364679,-0.007077935171901046,0.2793106171947313,0.3613095236827133
Inventive,-0.17509067212638002,0.5116444472699517,0.10183773362747767,0.18491500114960852,0.25283583706414603
Suspicious,0.6799697659375207,0.07704610992794768,0.015679324658419327,-0.07621824210562961,-0.2960638482514669
Clumsy,0.08183706942698185,-0.2730371104394554,0.09983967893851214,0.19050448044951107,0.2774811539416541
Submissive,0.27626058563454736,-0.1878148665957863,-0.4063158993950624,0.02380240199481926,0.1876479987769451
Aimless,0.1300109485203519,-0.4892255946906651,0.08359134956331979,0.4025532528335152,0.001511578308745494
Bullying,-0.12295457941938284,0.027467871543908652,0.7656437308117652,0.11038030378805655,-0.11319953848399081
Smart,-0.08935242310229526,0.5562150629166378,0.010101851564934233,-0.08615859528379448,-0.10647900465045729
Dominant,-0.1279143020173828,0.19266998689574433,0.6354437805525647,0.09629778213844853,-0.07959430543908333
Bullying,-0.06484295163363107,0.0793922440765233,0.8229352562854877,0.0945421191457438,0.01210480855537216
Constrained,-0.19194061413600133,0.029867609734734228,-0.004907541591995246,-0.17137094421887386,0.5852305378534376
Smart,0.03866799016249303,0.6029609217007244,0.02069646459564731,-0.11120625435550016,-0.010095761961607252
Bullying,-0.047218020596197126,0.06493728888186673,0.7834827427006397,0.16502387597103163,-0.12266293603224981
Trusting,-0.7940964703941861,0.08482281841450191,-0.00944912663986908,0.06516434440648039,0.3327540456595525
Active,-0.07004319428239646,0.484671066349048,-0.07777788244853157,0.2750568561477392,0.20489794879985412
Playful,0.22865164711061164,0.0006224278998464422,0.09538759677277378,-0.028123338794713383,-0.408379613047224
Dominant,-0.1413722775186635,0.15802224230716724,0.7340750348686311,0.11141591880652306,-0.10851219302521274
Stable,-0.6654928788749988,0.025769421045709257,-0.06400862449261682,-0.24430690182649328,-0.004091016256661459
Self-assured,-0.6179299499997074,0.4288429736787618,0.10222614404198727,-0.1518693563653259,0.0994508265553776
Greedy,-0.005880564951808571,-0.09881060241805507,0.4491788551963624,0.1594196636724042,0.40634662129368115
Erratic,-0.06654343864601603,0.0008952157363765686,0.2792490994330102,0.5375868549607443,-0.009744514853478294
Submissive,0.16474566653781375,-0.12085477827676007,-0.403169761414772,-0.002848366178871249,0.1643504109065957
Stable,-0.7012467525094477,0.12905399403757267,-0.13408866314924198,-0.1786740264150159,-0.044064749328260086
Friendly to other cats,0.053832189385689566,0.10238017759071757,0.04637458109794955,0.5955152186596236,0.03917071247695933
Submissive,0.2169646375871432,-0.1842733316892268,-0.4124927264500584,0.010102343671583476,0.23586391133655932
Dominant,-0.17082279962630392,0.21156699971321552,0.7436891520480058,0.14840619175673583,0.04524337142333611
Deliberate,-0.03262986816788356,0.5323504587321657,0.12523688836461552,-0.22915574707900524,-0.014688272476133548
Affectionate,-0.4925411369827532,-0.043884007294710356,-0.02119350980050603,0.023163072987924523,0.6057878004003123
Quitting,0.1985940997517716,-0.2847030081733138,0.11951767055187537,0.0874529821052366,-0.012826807906731616
Jealous,0.21210075800681846,0.03049085446713171,0.5555924827411138,0.21262179026721545,0.08908827434957972
Insecure,0.793758430824569,-0.09408416969988437,-0.10852503018115886,0.010518593171483119,0.017038559399410798
Excitable,0.4809786523349328,-0.0014096990632881876,0.16197387308529482,0.34089911815461965,0.26113478145675373
Erratic,-0.1018910472043558,-0.041575041069208236,0.3890477147451601,0.47814166196288543,-0.0411118898537782
Inventive,-0.1776649112169279,0.59946578059273,-0.002433129352443497,0.23366881739721335,0.30066482882915385
Cool,-0.4843159537824558,0.05268699144845515,0.05905343268373514,-0.13438642552470612,-0.04398871832828935
Aimless,0.08181754862868286,-0.47054655781495924,0.04163878920225035,0.3346621621390911,0.0751224857180062
Persevering,-0.0013964243376974675,0.3994942044265545,0.3009210712057364,0.07565421221037563,0.057089174034971234
Deliberate,-0.11735631447648483,0.4314192980744674,0.20002069539722128,-0.2628447139485698,-0.062345549134096984
Clumsy,0.1368326376263643,-0.3885022776078894,-0.015415106548290286,0.19807332765786664,0.18104930784831538
Bullying,-0.1349588193957734,0.06392146995093213,0.8805687514332491,0.17117744284508188,-0.05356739198133956
Active,-0.044988567054238204,0.60818678080249,-0.182512324906016,0.24612621715014188,0.12358736455386457
Bold,-0.5638821209879787,0.4091246747350311,0.14086815628502744,0.27143754122814573,0.050883518413287435
Friendly to other cats,0.1049124956888908,0.1049952771951205,0.1272980804856575,0.5767839827751267,-0.0373042208586204
Affectionate,-0.4606515217222502,-0.06455665043007432,-0.04315545183247321,0.0569043576566815,0.5070799639896416
Stable,-0.5936639501114238,0.13995742608546902,-0.11708478380238116,-0.26615891074050246,0.13596314723876315
Reckless,0.05566352052688823,-0.05191389891586834,0.02596144672876018,-0.5134072042769496,0.2236648888108773
Self-assured,-0.4759975967142676,0.4005494358809983,0.11723740289488734,-0.11836377542296461,0.02665426439928395
Stable,-0.6381024781854777,0.1567772296079315,-0.09137826765088936,-0.2995033162567639,0.13973370721640108
Clumsy,0.05393096809626076,-0.3346210594620009,0.01113608970581555,0.19111745693327215,0.2191800611872106
Self-assured,-0.5899052031632109,0.39634201153787335,0.19193160240205603,-0.11426446909180157,0.012094532114702204
Smart,-0.17460594442786095,0.621211712985595,0.027166958380311544,-0.036046051329711976,0.01055718273247713
Aggressive to other cats,0.05886753513816149,0.03097551055341831,0.651042417403585,0.09028342272898358,-0.19431101718047028
Clumsy,0.12343307133418863,-0.41124279909040395,-0.0025001290411729923,0.21843273359833637,0.24209703247847045
Active,-0.12693154060130346,0.5215972467155817,-0.06409921727119294,0.28657292003906104,0.01951531152332664
Impulsive,0.2332490414870541,-0.15369196735354582,0.22927738645608606,0.6273142124001849,-0.2096788865094531
Vigilant,0.26166468847332286,0.48426768094439043,0.041745390205686,0.1045641389451078,-0.09208081098980139
Fearful of people,0.7383132822950367,0.040939015215822466,0.012685594012809696,-0.03913928451763283,-0.2873316591745411
Quitting,0.12135611660881954,-0.28964738564377324,0.021417163272935705,0.11101909176055347,-0.09133586122949826
Inventive,-0.09688032638086208,0.5615095393605078,0.06043037211783703,0.1968365522169584,0.24902780941775685
Aggressive to other cats,-0.010359184690301983,0.04838629110256102,0.7013150467410934,0.12137279624975582,-0.2061530280072276
Dominant,-0.20621124094991453,0.03805914208617854,0.6932860418906848,0.18113740680499701,-0.06368922988792038
Insecure,0.8411103572021702,-0.19694165588903847,0.02195558937101344,0.056211785673227,0.0035240308620606287
Active,-0.14359286165200777,0.6506307710806458,-0.0807697856050988,0.2790369810132803,0.07685545853958661
Defiant,-0.1271567132383992,0.12014985982089091,0.6435741445591047,0.29462204340705456,-0.22475218300748698
Anxious,0.7679415261543725,-0.11427418578907703,0.07569743166078305,0.0697587689047435,-0.021349331887309426
Playful,0.23881117942759847,-0.1708681475054284,0.024168006497387762,0.007852729070472058,-0.4318627792576802
Persevering,0.032068952629292394,0.5049860894583258,0.17764871496270018,0.09208299239893888,0.04762290971824204
Reckless,0.14882202922577428,-0.058212080585552564,0.06086062874843119,-0.47478220312383934,0.08506079758384359
Submissive,0.1834843187130505,-0.17157581983315023,-0.46897552313707563,0.0676512073572618,0.05962181373548671
Curious,-0.21152222032782828,0.6161257052632878,-0.00908008895556581,0.3500799296473215,0.3225225046268069
Shy,0.624845984912009,-0.1499575896425181,-0.04500745241146267,-0.06569361549563421,-0.10760520209460397
Decisive,-0.19012359658029476,0.5649103401040053,0.22248903507018034,-0.24575476714778255,0.09088742428256001
Erratic,-0.08342205146260745,0.048683832306926314,0.2749331404198643,0.6352821471262723,0.025962166464794503
Calm,-0.6501134145943188,0.10499870233628764,-0.11517105266634153,-0.1870804905077905,0.020877003752695397
Jealous,0.20703929059973747,-0.06865576801106602,0.4961278557381945,0.1230164936589907,-0.027477442408718487
Playful,0.2360474471319123,-0.17867521669748065,0.025480668693066186,0.00020465038377281324,-0.4003415316603451
Clumsy,0.10917321248761871,-0.39123942905457443,0.17926295013017052,0.22837408327371522,0.2043235156913801
Active,-0.11541946856290342,0.4969628981982346,-0.16333614873142266,0.21871160916211993,0.11243448841694534
Suspicious,0.7878024719738528,0.09176906794111345,0.03787108581088094,-0.044229148938486285,-0.25633110388417507
Bullying,-0.07176811944128147,0.0005166670454819292,0.7587827305143389,0.13077373211720753,-0.10023723322691064
Impulsive,0.09972169714504653,-0.1696562672583575,0.28304068431276946,0.6820266785446185,-0.24277894986647894
Tense,0.5125287836637118,-0.0582632510167828,0.08699618729332506,0.1166806191205014,-0.15663186591754796
Tense,0.5845771060438655,-0.14023108756324343,0.11024066536883924,0.11359072652071164,-0.10701394001718031
Tense,0.6156473265103601,-0.07611743452354283,0.04441586247666081,0.16338160419530678,-0.11979491724954959
Calm,-0.7310987055195398,0.08171142032997747,-0.007815475237388056,-0.15791120017056343,0.09007309170957414
Friendly to other cats,-0.015110663304000571,0.07685921568302445,0.08936526770611958,0.6525947528632802,-0.07074674031548209
Curious,-0.2080593192407238,0.6214957431023147,-0.1319715749159966,0.2886980574842854,0.23804632168041093
Bold,-0.5083702545886092,0.35901247520786356,0.041305894246778996,0.2672811612097225,0.030672650963990526
Erratic,0.0014354717609958642,0.007190202255577843,0.2733553557136387,0.5465210895539387,0.064499378110855
